"Example","Chapter","Book Section","Output Type","Book Value","Package Value","Difference","Status","Diagnosis","Action Taken"
"Exam11.1",11,"11.1.2","ANOVA LSMean trt 2","15","15","0","EXACT","Matches printed 2024 book output within exact tolerance","DataSet11.1 reconstructed from printed constraints"
"Exam11.1",11,"11.1.2","ANOVA LSMean SE","3.6973","3.6973","0","EXACT","Matches printed 2024 book output within exact tolerance","DataSet11.1 reconstructed from printed constraints"
"Exam11.1",11,"11.1.2","Log ANOVA trt F","7.78","7.7798","2e-04","EXACT","Matches printed 2024 book output within exact tolerance","DataSet11.1 reconstructed from printed constraints"
"Exam11.1",11,"11.1.2","Log ANOVA trt p","0.0236","0.02359","1e-05","EXACT","Matches printed 2024 book output within exact tolerance","DataSet11.1 reconstructed from printed constraints"
"Exam11.1",11,"11.1.2","Log LSMean trt 1","1.3159","1.31585","5e-05","EXACT","Matches printed 2024 book output within exact tolerance","DataSet11.1 reconstructed from printed constraints"
"Exam11.1",11,"11.1.2","Log LSMean trt 2","2.5372","2.53717","3e-05","EXACT","Matches printed 2024 book output within exact tolerance","DataSet11.1 reconstructed from printed constraints"
"Exam11.1",11,"11.1.2","Log LSMean SE","0.3096","0.30962","2e-05","EXACT","Matches printed 2024 book output within exact tolerance","DataSet11.1 reconstructed from printed constraints"
"Exam11.1",11,"11.1.2","Poisson GLM Pearson chi-square/DF","5.81","5.81","0","EXACT","Matches printed 2024 book output within exact tolerance","Validated from reconstructed counts"
"Exam11.1",11,"11.1.2","Poisson GLMM FE intercept","1.4562","1.4732","0.017","APPROX","Within approximate tolerance or documented SAS/R estimation difference","R lme4 nAGQ=0 used as SAS GLIMMIX analogue"
"Exam11.1",11,"11.1.2","Poisson GLMM FE trt2","1.1262","1.1178","0.0084","EXACT","Matches printed 2024 book output within exact tolerance","R lme4 nAGQ=0 used as SAS GLIMMIX analogue"
"Exam11.1",11,"11.1.2","Poisson GLMM VC unit","0.37","0.2908","0.0792","APPROX","Within approximate tolerance or documented SAS/R estimation difference","Documented software-estimation difference"
"Exam11.3",11,"11.4","RCBD sample mean trt 1","8","8","0","EXACT","Matches printed 2024 book output within exact tolerance","DataSet11.3 constrained reconstruction"
"Exam11.3",11,"11.4","RCBD sample mean trt 2","13.3","13.3","0","EXACT","Matches printed 2024 book output within exact tolerance","DataSet11.3 constrained reconstruction"
"Exam11.3",11,"11.4","RCBD sample mean trt 3","25.7","25.7","0","EXACT","Matches printed 2024 book output within exact tolerance","DataSet11.3 constrained reconstruction"
"Exam11.3",11,"11.4","Poisson-normal block VC","0.6246","0.7158","0.0912","APPROX","Within approximate tolerance or documented SAS/R estimation difference","R lme4 nAGQ=0 used as SAS GLIMMIX analogue"
"Exam3.2",3,"3.3.1","Gaussian trt 0 LSMean","10.524","10.524","0","EXACT","Matches Example 3.3.1 Gaussian two-treatment LSMean output.","Fitted stats::lm(Y ~ trt) and extracted emmeans."
"Exam3.2",3,"3.3.1","Gaussian trt 1 LSMean","12.188","12.188","0","EXACT","Matches Example 3.3.1 Gaussian two-treatment LSMean output.","Fitted stats::lm(Y ~ trt) and extracted emmeans."
"Exam3.2",3,"3.3.1","Gaussian LSMean SE","0.9972","0.997214","1.4e-05","EXACT","Matches Example 3.3.1 Gaussian LSMean standard error.","Fitted stats::lm(Y ~ trt) and extracted emmeans."
"Exam3.2",3,"3.3.1","Gaussian trt0-trt1 diff","-1.664","-1.664","0","EXACT","Matches Example 3.3.1 treatment difference.","Fitted stats::lm(Y ~ trt) and extracted pairwise emmeans contrast."
"Exam3.2",3,"3.3.1","Gaussian diff SE","1.4103","1.410273","2.7e-05","EXACT","Matches Example 3.3.1 treatment difference standard error.","Fitted stats::lm(Y ~ trt) and extracted pairwise emmeans contrast."
"Exam3.2",3,"3.3.1","Gaussian scale variance","9.9444","9.944356","4.4e-05","EXACT","Matches Example 3.3.1 printed scale estimate.","Computed residual variance from stats::lm."
"Exam3.2",3,"3.3.2","Binomial GLM trt0 logit LSMean","-2.1542","-2.154165","3.5e-05","EXACT","Uses binomial-count response from the 2024 book, not unweighted proportions.","Fitted stats::glm(cbind(F, N - F) ~ trt, binomial)."
"Exam3.2",3,"3.3.2","Binomial GLM trt1 logit LSMean","-0.886","-0.88595","5e-05","EXACT","Uses binomial-count response from the 2024 book, not unweighted proportions.","Fitted stats::glm(cbind(F, N - F) ~ trt, binomial)."
"Exam3.2",3,"3.3.2","Binomial GLM trt0 probability","0.1039","0.103943","4.3e-05","EXACT","Matches Example 3.3.2 inverse-link LSMean.","Extracted emmeans on response scale."
"Exam3.2",3,"3.3.2","Binomial GLM trt1 probability","0.2919","0.291946","4.6e-05","EXACT","Matches Example 3.3.2 inverse-link LSMean.","Extracted emmeans on response scale."
"Exam3.2",3,"3.3.2","Binomial GLM trt0-trt1 log odds ratio","-1.2682","-1.268215","1.5e-05","EXACT","Matches Example 3.3.2 model-scale treatment contrast.","Extracted pairwise emmeans contrast on link scale."
"Exam3.2",3,"3.3.2","Binomial GLM odds ratio","0.2813","0.281333","3.3e-05","EXACT","Matches Example 3.3.2 exponentiated treatment contrast.","Exponentiated pairwise emmeans contrast."
"Exam3.2",3,"3.3.2","Binomial GLM fixed trt1 coefficient","1.2682","1.268215","1.5e-05","EXACT","R treatment coding reports trt1-trt0; sign is opposite SAS trt0-trt1 contrast.","Extracted fixed effects with broom.mixed::tidy."
"Exam3.3",3,"3.3.3","RCBD Gaussian trt 0 LSMean","24.95","24.95","0","EXACT","Matches Example 3.3.3 treatment LSMean output.","Fitted stats::lm(Y ~ loc + trt) and extracted emmeans."
"Exam3.3",3,"3.3.3","RCBD Gaussian trt 1 LSMean","24.1375","24.1375","0","EXACT","Matches Example 3.3.3 treatment LSMean output.","Fitted stats::lm(Y ~ loc + trt) and extracted emmeans."
"Exam3.3",3,"3.3.3","RCBD Gaussian trt 2 LSMean","27.375","27.375","0","EXACT","Matches Example 3.3.3 treatment LSMean output.","Fitted stats::lm(Y ~ loc + trt) and extracted emmeans."
"Exam3.3",3,"3.3.3","RCBD Gaussian trt 3 LSMean","27.0875","27.0875","0","EXACT","Matches Example 3.3.3 treatment LSMean output.","Fitted stats::lm(Y ~ loc + trt) and extracted emmeans."
"Exam3.3",3,"3.3.3","RCBD Gaussian LSMean SE","0.5997","0.59969","1e-05","EXACT","Matches Example 3.3.3 LSMean standard error.","Fitted stats::lm(Y ~ loc + trt) and extracted emmeans."
"Exam3.3",3,"3.3.3","RCBD Gaussian residual scale","2.877","2.877024","2.4e-05","EXACT","Matches Example 3.3.3 printed scale estimate.","Computed residual variance from stats::lm."
"Exam3.3",3,"3.3.3","RCBD Type III trt F","7.04","7.038813","0.001187","EXACT","Balanced RCBD gives the printed treatment F statistic.","Extracted stats::anova from stats::lm."
"Exam3.3",3,"3.3.3","RCBD Type III trt p","0.0019","0.001873","2.7e-05","EXACT","Balanced RCBD gives the printed treatment p-value.","Extracted stats::anova from stats::lm."
"Exam3.3",3,"3.3.3","RCBD Type III loc F","3.41","3.412505","0.002505","EXACT","Balanced RCBD gives the printed location F statistic.","Extracted stats::anova from stats::lm."
"Exam3.3",3,"3.3.3","RCBD Type III loc p","0.0135","0.013544","4.4e-05","EXACT","Balanced RCBD gives the printed location p-value.","Extracted stats::anova from stats::lm."
"Exam3.3",3,"3.3.3","RCBD trt0-trt1 diff","0.8125","0.8125","0","EXACT","Matches Example 3.3.3 pairwise treatment difference.","Extracted unadjusted pairwise emmeans contrast."
"Exam3.3",3,"3.3.3","RCBD trt1-trt2 diff","-3.2375","-3.2375","0","EXACT","Matches Example 3.3.3 pairwise treatment difference.","Extracted unadjusted pairwise emmeans contrast."
"Exam3.5",3,"3.3.5","Factorial a0 marginal mean","24.5438","24.54375","5e-05","EXACT","Matches Example 3.3.5 marginal mean for A0.","Fitted stats::lm(Y ~ A * B + loc) and extracted emmeans."
"Exam3.5",3,"3.3.5","Factorial b0 marginal mean","26.1625","26.1625","0","EXACT","Matches Example 3.3.5 marginal mean for B0.","Fitted stats::lm(Y ~ A * B + loc) and extracted emmeans."
"Exam3.5",3,"3.3.5","Factorial a0 marginal SE","0.424","0.424045","4.5e-05","EXACT","Matches Example 3.3.5 marginal mean standard error.","Extracted emmeans."
"Exam3.5",3,"3.3.5","Factorial a at b0 simple effect","-2.425","-2.425","0","EXACT","Matches Example 3.3.5 simple effect of A at B0.","Extracted pairwise emmeans contrast by B."
"Exam3.5",3,"3.3.5","Factorial b at a0 simple effect","0.8125","0.8125","0","EXACT","Matches Example 3.3.5 simple effect of B at A0.","Extracted pairwise emmeans contrast by A."
"Exam3.5",3,"3.3.5","Factorial A:B interaction p","0.6661","0.666054","4.6e-05","EXACT","Matches Example 3.3.5 printed interaction p-value.","Extracted stats::anova from stats::lm."
"Exam3.5",3,"3.3.5","Factorial A0 B0 LSMean","24.95","24.95","0","EXACT","Matches Example 3.3.5 A*B LSMean output.","Extracted emmeans for A*B."
"Exam3.5",3,"3.3.5","Factorial A0 B1 LSMean","24.1375","24.1375","0","EXACT","Matches Example 3.3.5 A*B LSMean output.","Extracted emmeans for A*B."
"Exam3.5",3,"3.3.5","Factorial A1 B0 LSMean","27.375","27.375","0","EXACT","Matches Example 3.3.5 A*B LSMean output.","Extracted emmeans for A*B."
"Exam3.5",3,"3.3.5","Factorial A1 B1 LSMean","27.0875","27.0875","0","EXACT","Matches Example 3.3.5 A*B LSMean output.","Extracted emmeans for A*B."
"Exam3.9",3,"3.5 / Table 3.4","conditional no interaction trt 0 data-scale mean","0.124","0.12281","0.00119","EXACT","Compares Table 3.4 data-scale treatment estimates.","Fitted the corresponding R model and extracted emmeans."
"Exam3.9",3,"3.5 / Table 3.4","conditional no interaction trt 0 SE","0.046","0.043275","0.002725","EXACT","Compares Table 3.4 standard errors.","Fitted the corresponding R model and extracted emmeans."
"Exam3.9",3,"3.5 / Table 3.4","conditional no interaction trt 1 data-scale mean","0.159","0.157747","0.001253","EXACT","Compares Table 3.4 data-scale treatment estimates.","Fitted the corresponding R model and extracted emmeans."
"Exam3.9",3,"3.5 / Table 3.4","conditional no interaction trt 1 SE","0.056","0.052946","0.003054","EXACT","Compares Table 3.4 standard errors.","Fitted the corresponding R model and extracted emmeans."
"Exam3.9",3,"3.5 / Table 3.4","conditional no interaction trt 2 data-scale mean","0.26","0.258816","0.001184","EXACT","Compares Table 3.4 data-scale treatment estimates.","Fitted the corresponding R model and extracted emmeans."
"Exam3.9",3,"3.5 / Table 3.4","conditional no interaction trt 2 SE","0.08","0.075598","0.004402","EXACT","Compares Table 3.4 standard errors.","Fitted the corresponding R model and extracted emmeans."
"Exam3.9",3,"3.5 / Table 3.4","conditional no interaction trt 3 data-scale mean","0.298","0.296139","0.001861","EXACT","Compares Table 3.4 data-scale treatment estimates.","Fitted the corresponding R model and extracted emmeans."
"Exam3.9",3,"3.5 / Table 3.4","conditional no interaction trt 3 SE","0.087","0.08197","0.00503","EXACT","Compares Table 3.4 standard errors.","Fitted the corresponding R model and extracted emmeans."
"Exam3.9",3,"3.5 / Table 3.4","normal approximation trt 0 data-scale mean","0.16","0.160417","0.000417","EXACT","Compares Table 3.4 data-scale treatment estimates.","Fitted the corresponding R model and extracted emmeans."
"Exam3.9",3,"3.5 / Table 3.4","normal approximation trt 0 SE","0.073","0.072778","0.000222","EXACT","Compares Table 3.4 standard errors.","Fitted the corresponding R model and extracted emmeans."
"Exam3.9",3,"3.5 / Table 3.4","normal approximation trt 1 data-scale mean","0.2","0.2","0","EXACT","Compares Table 3.4 data-scale treatment estimates.","Fitted the corresponding R model and extracted emmeans."
"Exam3.9",3,"3.5 / Table 3.4","normal approximation trt 1 SE","0.073","0.072778","0.000222","EXACT","Compares Table 3.4 standard errors.","Fitted the corresponding R model and extracted emmeans."
"Exam3.9",3,"3.5 / Table 3.4","normal approximation trt 2 data-scale mean","0.304","0.304167","0.000167","EXACT","Compares Table 3.4 data-scale treatment estimates.","Fitted the corresponding R model and extracted emmeans."
"Exam3.9",3,"3.5 / Table 3.4","normal approximation trt 2 SE","0.073","0.072778","0.000222","EXACT","Compares Table 3.4 standard errors.","Fitted the corresponding R model and extracted emmeans."
"Exam3.9",3,"3.5 / Table 3.4","normal approximation trt 3 data-scale mean","0.34","0.339583","0.000417","EXACT","Compares Table 3.4 data-scale treatment estimates.","Fitted the corresponding R model and extracted emmeans."
"Exam3.9",3,"3.5 / Table 3.4","normal approximation trt 3 SE","0.073","0.072778","0.000222","EXACT","Compares Table 3.4 standard errors.","Fitted the corresponding R model and extracted emmeans."
"Exam3.9",3,"3.5 / Table 3.4","conditional with interaction trt 0 data-scale mean","0.106","0.10694","0.00094","EXACT","Compares Table 3.4 data-scale treatment estimates.","Fitted the corresponding R model and extracted emmeans."
"Exam3.9",3,"3.5 / Table 3.4","conditional with interaction trt 0 SE","0.051","0.049721","0.001279","EXACT","Compares Table 3.4 standard errors.","Fitted the corresponding R model and extracted emmeans."
"Exam3.9",3,"3.5 / Table 3.4","conditional with interaction trt 1 data-scale mean","0.141","0.141675","0.000675","EXACT","Compares Table 3.4 data-scale treatment estimates.","Fitted the corresponding R model and extracted emmeans."
"Exam3.9",3,"3.5 / Table 3.4","conditional with interaction trt 1 SE","0.064","0.062609","0.001391","EXACT","Compares Table 3.4 standard errors.","Fitted the corresponding R model and extracted emmeans."
"Exam3.9",3,"3.5 / Table 3.4","conditional with interaction trt 2 data-scale mean","0.263","0.26295","5e-05","EXACT","Compares Table 3.4 data-scale treatment estimates.","Fitted the corresponding R model and extracted emmeans."
"Exam3.9",3,"3.5 / Table 3.4","conditional with interaction trt 2 SE","0.101","0.097458","0.003542","EXACT","Compares Table 3.4 standard errors.","Fitted the corresponding R model and extracted emmeans."
"Exam3.9",3,"3.5 / Table 3.4","conditional with interaction trt 3 data-scale mean","0.288","0.288721","0.000721","EXACT","Compares Table 3.4 data-scale treatment estimates.","Fitted the corresponding R model and extracted emmeans."
"Exam3.9",3,"3.5 / Table 3.4","conditional with interaction trt 3 SE","0.108","0.104076","0.003924","EXACT","Compares Table 3.4 standard errors.","Fitted the corresponding R model and extracted emmeans."
"Exam3.9",3,"3.5 / Table 3.4","marginal GLMM trt 0 data-scale mean","0.16","0.160417","0.000417","EXACT","Compares Table 3.4 data-scale treatment estimates.","Fitted the corresponding R model and extracted emmeans."
"Exam3.9",3,"3.5 / Table 3.4","marginal GLMM trt 0 SE","0.061","0.061201","0.000201","EXACT","Compares Table 3.4 standard errors.","Fitted the corresponding R model and extracted emmeans."
"Exam3.9",3,"3.5 / Table 3.4","marginal GLMM trt 1 data-scale mean","0.2","0.2","0","EXACT","Compares Table 3.4 data-scale treatment estimates.","Fitted the corresponding R model and extracted emmeans."
"Exam3.9",3,"3.5 / Table 3.4","marginal GLMM trt 1 SE","0.067","0.066706","0.000294","EXACT","Compares Table 3.4 standard errors.","Fitted the corresponding R model and extracted emmeans."
"Exam3.9",3,"3.5 / Table 3.4","marginal GLMM trt 2 data-scale mean","0.304","0.304167","0.000167","EXACT","Compares Table 3.4 data-scale treatment estimates.","Fitted the corresponding R model and extracted emmeans."
"Exam3.9",3,"3.5 / Table 3.4","marginal GLMM trt 2 SE","0.077","0.076721","0.000279","EXACT","Compares Table 3.4 standard errors.","Fitted the corresponding R model and extracted emmeans."
"Exam3.9",3,"3.5 / Table 3.4","marginal GLMM trt 3 data-scale mean","0.34","0.339583","0.000417","EXACT","Compares Table 3.4 data-scale treatment estimates.","Fitted the corresponding R model and extracted emmeans."
"Exam3.9",3,"3.5 / Table 3.4","marginal GLMM trt 3 SE","0.079","0.078974","2.6e-05","EXACT","Compares Table 3.4 standard errors.","Fitted the corresponding R model and extracted emmeans."
"Exam3.9",3,"3.5 / Table 3.4","normal approximation trt F","2.08","2.080536","0.000536","EXACT","Matches Table 3.4 normal-approximation treatment F statistic.","Extracted stats::anova from nlme::lme."
"Exam3.9",3,"3.5 / Table 3.4","normal approximation trt p","0.1334","0.133385","1.5e-05","EXACT","Matches Table 3.4 normal-approximation treatment p-value.","Extracted stats::anova from nlme::lme."
"Exam8.1",8,"8.4.2","Type III a F","14.94","14.942827","0.002827","EXACT","Balanced Gaussian factorial matches the printed GLIMMIX fixed-effect test.","Fitted stats::lm(y ~ a * b) and extracted stats::anova."
"Exam8.1",8,"8.4.2","Type III a p","0.0011","0.001133","3.3e-05","EXACT","Balanced Gaussian factorial matches the printed GLIMMIX fixed-effect test.","Fitted stats::lm(y ~ a * b) and extracted stats::anova."
"Exam8.1",8,"8.4.2","Type III b F","11.5","11.496559","0.003441","EXACT","Balanced Gaussian factorial matches the printed GLIMMIX fixed-effect test.","Fitted stats::lm(y ~ a * b) and extracted stats::anova."
"Exam8.1",8,"8.4.2","Type III b p","6e-04","0.000607","7e-06","EXACT","Balanced Gaussian factorial matches the printed GLIMMIX fixed-effect test.","Fitted stats::lm(y ~ a * b) and extracted stats::anova."
"Exam8.1",8,"8.4.2","Type III a:b F","6.02","6.023822","0.003822","EXACT","Balanced Gaussian factorial matches the printed GLIMMIX fixed-effect test.","Fitted stats::lm(y ~ a * b) and extracted stats::anova."
"Exam8.1",8,"8.4.2","Type III a:b p","0.0099","0.009935","3.5e-05","EXACT","Balanced Gaussian factorial matches the printed GLIMMIX fixed-effect test.","Fitted stats::lm(y ~ a * b) and extracted stats::anova."
"Exam8.1",8,"8.4.2","a0 b0 LSMean","50.5","50.5","0","EXACT","Matches printed a*b least-squares mean.","Extracted emmeans::emmeans(fit, ~ a * b)."
"Exam8.1",8,"8.4.2","a0 b0 LSMean SE","2.5611","2.56106","4e-05","EXACT","Matches printed a*b least-squares mean standard error.","Extracted emmeans::emmeans(fit, ~ a * b)."
"Exam8.1",8,"8.4.2","a0 b1 LSMean","59.75","59.75","0","EXACT","Matches printed a*b least-squares mean.","Extracted emmeans::emmeans(fit, ~ a * b)."
"Exam8.1",8,"8.4.2","a0 b1 LSMean SE","2.5611","2.56106","4e-05","EXACT","Matches printed a*b least-squares mean standard error.","Extracted emmeans::emmeans(fit, ~ a * b)."
"Exam8.1",8,"8.4.2","a0 b2 LSMean","71.5","71.5","0","EXACT","Matches printed a*b least-squares mean.","Extracted emmeans::emmeans(fit, ~ a * b)."
"Exam8.1",8,"8.4.2","a0 b2 LSMean SE","2.5611","2.56106","4e-05","EXACT","Matches printed a*b least-squares mean standard error.","Extracted emmeans::emmeans(fit, ~ a * b)."
"Exam8.1",8,"8.4.2","a1 b0 LSMean","67.75","67.75","0","EXACT","Matches printed a*b least-squares mean.","Extracted emmeans::emmeans(fit, ~ a * b)."
"Exam8.1",8,"8.4.2","a1 b0 LSMean SE","2.5611","2.56106","4e-05","EXACT","Matches printed a*b least-squares mean standard error.","Extracted emmeans::emmeans(fit, ~ a * b)."
"Exam8.1",8,"8.4.2","a1 b1 LSMean","67.25","67.25","0","EXACT","Matches printed a*b least-squares mean.","Extracted emmeans::emmeans(fit, ~ a * b)."
"Exam8.1",8,"8.4.2","a1 b1 LSMean SE","2.5611","2.56106","4e-05","EXACT","Matches printed a*b least-squares mean standard error.","Extracted emmeans::emmeans(fit, ~ a * b)."
"Exam8.1",8,"8.4.2","a1 b2 LSMean","71","71","0","EXACT","Matches printed a*b least-squares mean.","Extracted emmeans::emmeans(fit, ~ a * b)."
"Exam8.1",8,"8.4.2","a1 b2 LSMean SE","2.5611","2.56106","4e-05","EXACT","Matches printed a*b least-squares mean standard error.","Extracted emmeans::emmeans(fit, ~ a * b)."
"Exam8.1",8,"8.4.2","B simple-effect slice within a0 F","16.89","16.888","0.002","EXACT","Matches the printed SLICE test for B within A.","Extracted emmeans::joint_tests(fit, by = 'a')."
"Exam8.1",8,"8.4.2","B simple-effect slice within a0 p","1e-04","7.4e-05","2.6e-05","EXACT","Book reports <.0001 as an upper bound where applicable.","Extracted emmeans::joint_tests(fit, by = 'a')."
"Exam8.1",8,"8.4.2","B simple-effect slice within a1 F","0.63","0.632","0.002","EXACT","Matches the printed SLICE test for B within A.","Extracted emmeans::joint_tests(fit, by = 'a')."
"Exam8.1",8,"8.4.2","B simple-effect slice within a1 p","0.5429","0.542877","2.3e-05","EXACT","Book reports <.0001 as an upper bound where applicable.","Extracted emmeans::joint_tests(fit, by = 'a')."
"Exam8.1",8,"8.4.2","a0 b0 - b1 simple-effect diff","-9.25","-9.25","0","EXACT","Matches the printed SLICEDIFF treatment contrast.","Extracted pairwise emmeans contrasts for b within a."
"Exam8.1",8,"8.4.2","a0 b0 - b1 simple-effect diff SE","3.6219","3.621886","1.4e-05","EXACT","Matches the printed SLICEDIFF treatment-contrast standard error.","Extracted pairwise emmeans contrasts for b within a."
"Exam8.1",8,"8.4.2","a0 b0 - b1 simple-effect diff p","0.0199","0.019936","3.6e-05","EXACT","Book reports <.0001 as an upper bound where applicable.","Extracted pairwise emmeans contrasts for b within a."
"Exam8.1",8,"8.4.3","a0 b0 - b1 Bonferroni adjusted p","0.0598","0.059807","7e-06","EXACT","Matches the printed Bonferroni-adjusted SLICEDIFF output.","Extracted pairwise emmeans contrasts with adjust = 'bonferroni'."
"Exam8.1",8,"8.4.2","a0 b0 - b2 simple-effect diff","-21","-21","0","EXACT","Matches the printed SLICEDIFF treatment contrast.","Extracted pairwise emmeans contrasts for b within a."
"Exam8.1",8,"8.4.2","a0 b0 - b2 simple-effect diff SE","3.6219","3.621886","1.4e-05","EXACT","Matches the printed SLICEDIFF treatment-contrast standard error.","Extracted pairwise emmeans contrasts for b within a."
"Exam8.1",8,"8.4.2","a0 b0 - b2 simple-effect diff p","1e-04","1.7e-05","8.3e-05","EXACT","Book reports <.0001 as an upper bound where applicable.","Extracted pairwise emmeans contrasts for b within a."
"Exam8.1",8,"8.4.3","a0 b0 - b2 Bonferroni adjusted p","1e-04","5.1e-05","4.9e-05","EXACT","Matches the printed Bonferroni-adjusted SLICEDIFF output.","Extracted pairwise emmeans contrasts with adjust = 'bonferroni'."
"Exam8.1",8,"8.4.2","a0 b1 - b2 simple-effect diff","-11.75","-11.75","0","EXACT","Matches the printed SLICEDIFF treatment contrast.","Extracted pairwise emmeans contrasts for b within a."
"Exam8.1",8,"8.4.2","a0 b1 - b2 simple-effect diff SE","3.6219","3.621886","1.4e-05","EXACT","Matches the printed SLICEDIFF treatment-contrast standard error.","Extracted pairwise emmeans contrasts for b within a."
"Exam8.1",8,"8.4.2","a0 b1 - b2 simple-effect diff p","0.0045","0.004503","3e-06","EXACT","Book reports <.0001 as an upper bound where applicable.","Extracted pairwise emmeans contrasts for b within a."
"Exam8.1",8,"8.4.3","a0 b1 - b2 Bonferroni adjusted p","0.0135","0.013509","9e-06","EXACT","Matches the printed Bonferroni-adjusted SLICEDIFF output.","Extracted pairwise emmeans contrasts with adjust = 'bonferroni'."
"Exam8.1",8,"8.4.2","a1 b0 - b1 simple-effect diff","0.5","0.5","0","EXACT","Matches the printed SLICEDIFF treatment contrast.","Extracted pairwise emmeans contrasts for b within a."
"Exam8.1",8,"8.4.2","a1 b0 - b1 simple-effect diff SE","3.6219","3.621886","1.4e-05","EXACT","Matches the printed SLICEDIFF treatment-contrast standard error.","Extracted pairwise emmeans contrasts for b within a."
"Exam8.1",8,"8.4.2","a1 b0 - b1 simple-effect diff p","0.8917","0.891734","3.4e-05","EXACT","Book reports <.0001 as an upper bound where applicable.","Extracted pairwise emmeans contrasts for b within a."
"Exam8.1",8,"8.4.3","a1 b0 - b1 Bonferroni adjusted p","1","1","0","EXACT","Matches the printed Bonferroni-adjusted SLICEDIFF output.","Extracted pairwise emmeans contrasts with adjust = 'bonferroni'."
"Exam8.1",8,"8.4.2","a1 b0 - b2 simple-effect diff","-3.25","-3.25","0","EXACT","Matches the printed SLICEDIFF treatment contrast.","Extracted pairwise emmeans contrasts for b within a."
"Exam8.1",8,"8.4.2","a1 b0 - b2 simple-effect diff SE","3.6219","3.621886","1.4e-05","EXACT","Matches the printed SLICEDIFF treatment-contrast standard error.","Extracted pairwise emmeans contrasts for b within a."
"Exam8.1",8,"8.4.2","a1 b0 - b2 simple-effect diff p","0.3814","0.381392","8e-06","EXACT","Book reports <.0001 as an upper bound where applicable.","Extracted pairwise emmeans contrasts for b within a."
"Exam8.1",8,"8.4.3","a1 b0 - b2 Bonferroni adjusted p","1","1","0","EXACT","Matches the printed Bonferroni-adjusted SLICEDIFF output.","Extracted pairwise emmeans contrasts with adjust = 'bonferroni'."
"Exam8.1",8,"8.4.2","a1 b1 - b2 simple-effect diff","-3.75","-3.75","0","EXACT","Matches the printed SLICEDIFF treatment contrast.","Extracted pairwise emmeans contrasts for b within a."
"Exam8.1",8,"8.4.2","a1 b1 - b2 simple-effect diff SE","3.6219","3.621886","1.4e-05","EXACT","Matches the printed SLICEDIFF treatment-contrast standard error.","Extracted pairwise emmeans contrasts for b within a."
"Exam8.1",8,"8.4.2","a1 b1 - b2 simple-effect diff p","0.3142","0.314206","6e-06","EXACT","Book reports <.0001 as an upper bound where applicable.","Extracted pairwise emmeans contrasts for b within a."
