"Example","Chapter","Book Section","Output Type","Book Value","Package Value","Difference","Status","Diagnosis","Action Taken"
"Exam3.5",3,"3.3.5","Factorial A1 B1 LSMean","27.0875","27.0875","0","EXACT","Matches Example 3.3.5 A*B LSMean output.","Extracted emmeans for A*B."
"Exam3.9",3,"3.5 / Table 3.4","conditional no interaction trt 0 data-scale mean","0.124","0.12281","0.00119","EXACT","Compares Table 3.4 data-scale treatment estimates.","Fitted the corresponding R model and extracted emmeans."
"Exam3.9",3,"3.5 / Table 3.4","conditional no interaction trt 0 SE","0.046","0.043275","0.002725","EXACT","Compares Table 3.4 standard errors.","Fitted the corresponding R model and extracted emmeans."
"Exam3.9",3,"3.5 / Table 3.4","conditional no interaction trt 1 data-scale mean","0.159","0.157747","0.001253","EXACT","Compares Table 3.4 data-scale treatment estimates.","Fitted the corresponding R model and extracted emmeans."
"Exam3.9",3,"3.5 / Table 3.4","conditional no interaction trt 1 SE","0.056","0.052946","0.003054","EXACT","Compares Table 3.4 standard errors.","Fitted the corresponding R model and extracted emmeans."
"Exam3.9",3,"3.5 / Table 3.4","conditional no interaction trt 2 data-scale mean","0.26","0.258816","0.001184","EXACT","Compares Table 3.4 data-scale treatment estimates.","Fitted the corresponding R model and extracted emmeans."
"Exam3.9",3,"3.5 / Table 3.4","conditional no interaction trt 2 SE","0.08","0.075598","0.004402","EXACT","Compares Table 3.4 standard errors.","Fitted the corresponding R model and extracted emmeans."
"Exam3.9",3,"3.5 / Table 3.4","conditional no interaction trt 3 data-scale mean","0.298","0.296139","0.001861","EXACT","Compares Table 3.4 data-scale treatment estimates.","Fitted the corresponding R model and extracted emmeans."
"Exam3.9",3,"3.5 / Table 3.4","conditional no interaction trt 3 SE","0.087","0.08197","0.00503","EXACT","Compares Table 3.4 standard errors.","Fitted the corresponding R model and extracted emmeans."
"Exam3.9",3,"3.5 / Table 3.4","normal approximation trt 0 data-scale mean","0.16","0.160417","0.000417","EXACT","Compares Table 3.4 data-scale treatment estimates.","Fitted the corresponding R model and extracted emmeans."
"Exam3.9",3,"3.5 / Table 3.4","normal approximation trt 0 SE","0.073","0.072778","0.000222","EXACT","Compares Table 3.4 standard errors.","Fitted the corresponding R model and extracted emmeans."
"Exam3.9",3,"3.5 / Table 3.4","normal approximation trt 1 data-scale mean","0.2","0.2","0","EXACT","Compares Table 3.4 data-scale treatment estimates.","Fitted the corresponding R model and extracted emmeans."
"Exam3.9",3,"3.5 / Table 3.4","normal approximation trt 1 SE","0.073","0.072778","0.000222","EXACT","Compares Table 3.4 standard errors.","Fitted the corresponding R model and extracted emmeans."
"Exam3.9",3,"3.5 / Table 3.4","normal approximation trt 2 data-scale mean","0.304","0.304167","0.000167","EXACT","Compares Table 3.4 data-scale treatment estimates.","Fitted the corresponding R model and extracted emmeans."
"Exam3.9",3,"3.5 / Table 3.4","normal approximation trt 2 SE","0.073","0.072778","0.000222","EXACT","Compares Table 3.4 standard errors.","Fitted the corresponding R model and extracted emmeans."
"Exam3.9",3,"3.5 / Table 3.4","normal approximation trt 3 data-scale mean","0.34","0.339583","0.000417","EXACT","Compares Table 3.4 data-scale treatment estimates.","Fitted the corresponding R model and extracted emmeans."
"Exam3.9",3,"3.5 / Table 3.4","normal approximation trt 3 SE","0.073","0.072778","0.000222","EXACT","Compares Table 3.4 standard errors.","Fitted the corresponding R model and extracted emmeans."
"Exam3.9",3,"3.5 / Table 3.4","conditional with interaction trt 0 data-scale mean","0.106","0.10694","0.00094","EXACT","Compares Table 3.4 data-scale treatment estimates.","Fitted the corresponding R model and extracted emmeans."
"Exam3.9",3,"3.5 / Table 3.4","conditional with interaction trt 0 SE","0.051","0.049721","0.001279","EXACT","Compares Table 3.4 standard errors.","Fitted the corresponding R model and extracted emmeans."
"Exam3.9",3,"3.5 / Table 3.4","conditional with interaction trt 1 data-scale mean","0.141","0.141675","0.000675","EXACT","Compares Table 3.4 data-scale treatment estimates.","Fitted the corresponding R model and extracted emmeans."
"Exam3.9",3,"3.5 / Table 3.4","conditional with interaction trt 1 SE","0.064","0.062609","0.001391","EXACT","Compares Table 3.4 standard errors.","Fitted the corresponding R model and extracted emmeans."
"Exam3.9",3,"3.5 / Table 3.4","conditional with interaction trt 2 data-scale mean","0.263","0.26295","5e-05","EXACT","Compares Table 3.4 data-scale treatment estimates.","Fitted the corresponding R model and extracted emmeans."
"Exam3.9",3,"3.5 / Table 3.4","conditional with interaction trt 2 SE","0.101","0.097458","0.003542","EXACT","Compares Table 3.4 standard errors.","Fitted the corresponding R model and extracted emmeans."
"Exam3.9",3,"3.5 / Table 3.4","conditional with interaction trt 3 data-scale mean","0.288","0.288721","0.000721","EXACT","Compares Table 3.4 data-scale treatment estimates.","Fitted the corresponding R model and extracted emmeans."
"Exam3.9",3,"3.5 / Table 3.4","conditional with interaction trt 3 SE","0.108","0.104076","0.003924","EXACT","Compares Table 3.4 standard errors.","Fitted the corresponding R model and extracted emmeans."
"Exam3.9",3,"3.5 / Table 3.4","marginal GLMM trt 0 data-scale mean","0.16","0.160417","0.000417","EXACT","Compares Table 3.4 data-scale treatment estimates.","Fitted the corresponding R model and extracted emmeans."
"Exam3.9",3,"3.5 / Table 3.4","marginal GLMM trt 0 SE","0.061","0.061201","0.000201","EXACT","Compares Table 3.4 standard errors.","Fitted the corresponding R model and extracted emmeans."
"Exam3.9",3,"3.5 / Table 3.4","marginal GLMM trt 1 data-scale mean","0.2","0.2","0","EXACT","Compares Table 3.4 data-scale treatment estimates.","Fitted the corresponding R model and extracted emmeans."
"Exam3.9",3,"3.5 / Table 3.4","marginal GLMM trt 1 SE","0.067","0.066706","0.000294","EXACT","Compares Table 3.4 standard errors.","Fitted the corresponding R model and extracted emmeans."
"Exam3.9",3,"3.5 / Table 3.4","marginal GLMM trt 2 data-scale mean","0.304","0.304167","0.000167","EXACT","Compares Table 3.4 data-scale treatment estimates.","Fitted the corresponding R model and extracted emmeans."
"Exam3.9",3,"3.5 / Table 3.4","marginal GLMM trt 2 SE","0.077","0.076721","0.000279","EXACT","Compares Table 3.4 standard errors.","Fitted the corresponding R model and extracted emmeans."
"Exam3.9",3,"3.5 / Table 3.4","marginal GLMM trt 3 data-scale mean","0.34","0.339583","0.000417","EXACT","Compares Table 3.4 data-scale treatment estimates.","Fitted the corresponding R model and extracted emmeans."
"Exam3.9",3,"3.5 / Table 3.4","marginal GLMM trt 3 SE","0.079","0.078974","2.6e-05","EXACT","Compares Table 3.4 standard errors.","Fitted the corresponding R model and extracted emmeans."
"Exam3.9",3,"3.5 / Table 3.4","normal approximation trt F","2.08","2.080536","0.000536","EXACT","Matches Table 3.4 normal-approximation treatment F statistic.","Extracted stats::anova from nlme::lme."
"Exam3.9",3,"3.5 / Table 3.4","normal approximation trt p","0.1334","0.133385","1.5e-05","EXACT","Matches Table 3.4 normal-approximation treatment p-value.","Extracted stats::anova from nlme::lme."
"Exam4.1",4,"absent from 2024 2nd edition","Legacy example status","not in 2nd edition","legacy topic retained","","UNVERIF","Example from 1st edition. Not in 2nd edition.","Classified as LEGACY; no 2024 book numerical comparison is available under this example number."
"Exam5.1",5,"absent from 2024 2nd edition","Legacy example status","not in 2nd edition","legacy topic retained","","UNVERIF","Example from 1st edition. Not in 2nd edition.","Classified as LEGACY; no 2024 book numerical comparison is available under this example number."
"Exam5.2",5,"absent from 2024 2nd edition","Legacy example status","not in 2nd edition","legacy topic retained","","UNVERIF","Example from 1st edition. Not in 2nd edition.","Classified as LEGACY; no 2024 book numerical comparison is available under this example number."
"Exam5.3",5,"absent from 2024 2nd edition","Legacy example status","not in 2nd edition","legacy topic retained","","UNVERIF","Example from 1st edition. Not in 2nd edition.","Classified as LEGACY; no 2024 book numerical comparison is available under this example number."
