"Example","Chapter","Book Section","Output Type","Book Value","Package Value","Difference","Status","Diagnosis","Action Taken"
"Exam8.1",8,"8.4.2","a1 b1 LSMean","67.25","67.25","0","EXACT","Matches printed a*b least-squares mean.","Extracted emmeans::emmeans(fit, ~ a * b)."
"Exam8.1",8,"8.4.2","a1 b1 LSMean SE","2.5611","2.56106","4e-05","EXACT","Matches printed a*b least-squares mean standard error.","Extracted emmeans::emmeans(fit, ~ a * b)."
"Exam8.1",8,"8.4.2","a1 b2 LSMean","71","71","0","EXACT","Matches printed a*b least-squares mean.","Extracted emmeans::emmeans(fit, ~ a * b)."
"Exam8.1",8,"8.4.2","a1 b2 LSMean SE","2.5611","2.56106","4e-05","EXACT","Matches printed a*b least-squares mean standard error.","Extracted emmeans::emmeans(fit, ~ a * b)."
"Exam8.1",8,"8.4.2","B simple-effect slice within a0 F","16.89","16.888","0.002","EXACT","Matches the printed SLICE test for B within A.","Extracted emmeans::joint_tests(fit, by = 'a')."
"Exam8.1",8,"8.4.2","B simple-effect slice within a0 p","1e-04","7.4e-05","2.6e-05","EXACT","Book reports <.0001 as an upper bound where applicable.","Extracted emmeans::joint_tests(fit, by = 'a')."
"Exam8.1",8,"8.4.2","B simple-effect slice within a1 F","0.63","0.632","0.002","EXACT","Matches the printed SLICE test for B within A.","Extracted emmeans::joint_tests(fit, by = 'a')."
"Exam8.1",8,"8.4.2","B simple-effect slice within a1 p","0.5429","0.542877","2.3e-05","EXACT","Book reports <.0001 as an upper bound where applicable.","Extracted emmeans::joint_tests(fit, by = 'a')."
"Exam8.1",8,"8.4.2","a0 b0 - b1 simple-effect diff","-9.25","-9.25","0","EXACT","Matches the printed SLICEDIFF treatment contrast.","Extracted pairwise emmeans contrasts for b within a."
"Exam8.1",8,"8.4.2","a0 b0 - b1 simple-effect diff SE","3.6219","3.621886","1.4e-05","EXACT","Matches the printed SLICEDIFF treatment-contrast standard error.","Extracted pairwise emmeans contrasts for b within a."
"Exam8.1",8,"8.4.2","a0 b0 - b1 simple-effect diff p","0.0199","0.019936","3.6e-05","EXACT","Book reports <.0001 as an upper bound where applicable.","Extracted pairwise emmeans contrasts for b within a."
"Exam8.1",8,"8.4.3","a0 b0 - b1 Bonferroni adjusted p","0.0598","0.059807","7e-06","EXACT","Matches the printed Bonferroni-adjusted SLICEDIFF output.","Extracted pairwise emmeans contrasts with adjust = 'bonferroni'."
"Exam8.1",8,"8.4.2","a0 b0 - b2 simple-effect diff","-21","-21","0","EXACT","Matches the printed SLICEDIFF treatment contrast.","Extracted pairwise emmeans contrasts for b within a."
"Exam8.1",8,"8.4.2","a0 b0 - b2 simple-effect diff SE","3.6219","3.621886","1.4e-05","EXACT","Matches the printed SLICEDIFF treatment-contrast standard error.","Extracted pairwise emmeans contrasts for b within a."
"Exam8.1",8,"8.4.2","a0 b0 - b2 simple-effect diff p","1e-04","1.7e-05","8.3e-05","EXACT","Book reports <.0001 as an upper bound where applicable.","Extracted pairwise emmeans contrasts for b within a."
"Exam8.1",8,"8.4.3","a0 b0 - b2 Bonferroni adjusted p","1e-04","5.1e-05","4.9e-05","EXACT","Matches the printed Bonferroni-adjusted SLICEDIFF output.","Extracted pairwise emmeans contrasts with adjust = 'bonferroni'."
"Exam8.1",8,"8.4.2","a0 b1 - b2 simple-effect diff","-11.75","-11.75","0","EXACT","Matches the printed SLICEDIFF treatment contrast.","Extracted pairwise emmeans contrasts for b within a."
"Exam8.1",8,"8.4.2","a0 b1 - b2 simple-effect diff SE","3.6219","3.621886","1.4e-05","EXACT","Matches the printed SLICEDIFF treatment-contrast standard error.","Extracted pairwise emmeans contrasts for b within a."
"Exam8.1",8,"8.4.2","a0 b1 - b2 simple-effect diff p","0.0045","0.004503","3e-06","EXACT","Book reports <.0001 as an upper bound where applicable.","Extracted pairwise emmeans contrasts for b within a."
"Exam8.1",8,"8.4.3","a0 b1 - b2 Bonferroni adjusted p","0.0135","0.013509","9e-06","EXACT","Matches the printed Bonferroni-adjusted SLICEDIFF output.","Extracted pairwise emmeans contrasts with adjust = 'bonferroni'."
"Exam8.1",8,"8.4.2","a1 b0 - b1 simple-effect diff","0.5","0.5","0","EXACT","Matches the printed SLICEDIFF treatment contrast.","Extracted pairwise emmeans contrasts for b within a."
"Exam8.1",8,"8.4.2","a1 b0 - b1 simple-effect diff SE","3.6219","3.621886","1.4e-05","EXACT","Matches the printed SLICEDIFF treatment-contrast standard error.","Extracted pairwise emmeans contrasts for b within a."
"Exam8.1",8,"8.4.2","a1 b0 - b1 simple-effect diff p","0.8917","0.891734","3.4e-05","EXACT","Book reports <.0001 as an upper bound where applicable.","Extracted pairwise emmeans contrasts for b within a."
"Exam8.1",8,"8.4.3","a1 b0 - b1 Bonferroni adjusted p","1","1","0","EXACT","Matches the printed Bonferroni-adjusted SLICEDIFF output.","Extracted pairwise emmeans contrasts with adjust = 'bonferroni'."
"Exam8.1",8,"8.4.2","a1 b0 - b2 simple-effect diff","-3.25","-3.25","0","EXACT","Matches the printed SLICEDIFF treatment contrast.","Extracted pairwise emmeans contrasts for b within a."
"Exam8.1",8,"8.4.2","a1 b0 - b2 simple-effect diff SE","3.6219","3.621886","1.4e-05","EXACT","Matches the printed SLICEDIFF treatment-contrast standard error.","Extracted pairwise emmeans contrasts for b within a."
"Exam8.1",8,"8.4.2","a1 b0 - b2 simple-effect diff p","0.3814","0.381392","8e-06","EXACT","Book reports <.0001 as an upper bound where applicable.","Extracted pairwise emmeans contrasts for b within a."
"Exam8.1",8,"8.4.3","a1 b0 - b2 Bonferroni adjusted p","1","1","0","EXACT","Matches the printed Bonferroni-adjusted SLICEDIFF output.","Extracted pairwise emmeans contrasts with adjust = 'bonferroni'."
"Exam8.1",8,"8.4.2","a1 b1 - b2 simple-effect diff","-3.75","-3.75","0","EXACT","Matches the printed SLICEDIFF treatment contrast.","Extracted pairwise emmeans contrasts for b within a."
"Exam8.1",8,"8.4.2","a1 b1 - b2 simple-effect diff SE","3.6219","3.621886","1.4e-05","EXACT","Matches the printed SLICEDIFF treatment-contrast standard error.","Extracted pairwise emmeans contrasts for b within a."
"Exam8.1",8,"8.4.2","a1 b1 - b2 simple-effect diff p","0.3142","0.314206","6e-06","EXACT","Book reports <.0001 as an upper bound where applicable.","Extracted pairwise emmeans contrasts for b within a."
"Exam8.1",8,"8.4.3","a1 b1 - b2 Bonferroni adjusted p","0.9426","0.942617","1.7e-05","EXACT","Matches the printed Bonferroni-adjusted SLICEDIFF output.","Extracted pairwise emmeans contrasts with adjust = 'bonferroni'."
"Exam8.2",8,"8.5.2.2.1","Unequal-slopes model trt F","3.01","3.009116","0.000884","EXACT","Matches the printed preliminary ANCOVA equal-slopes test.","Fitted stats::lm(y ~ trt * x) and extracted car::Anova(type = 'III')."
"Exam8.2",8,"8.5.2.2.1","Unequal-slopes model trt p","0.0722","0.072245","4.5e-05","EXACT","Book reports <.0001 as an upper bound where applicable.","Fitted stats::lm(y ~ trt * x) and extracted car::Anova(type = 'III')."
"Exam8.2",8,"8.5.2.2.1","Unequal-slopes model x F","60.82","60.822207","0.002207","EXACT","Matches the printed preliminary ANCOVA equal-slopes test.","Fitted stats::lm(y ~ trt * x) and extracted car::Anova(type = 'III')."
"Exam8.2",8,"8.5.2.2.1","Unequal-slopes model x p","1e-04","5e-06","9.5e-05","EXACT","Book reports <.0001 as an upper bound where applicable.","Fitted stats::lm(y ~ trt * x) and extracted car::Anova(type = 'III')."
"Exam8.2",8,"8.5.2.2.1","Unequal-slopes model trt:x F","1.41","1.406248","0.003752","EXACT","Matches the printed preliminary ANCOVA equal-slopes test.","Fitted stats::lm(y ~ trt * x) and extracted car::Anova(type = 'III')."
"Exam8.2",8,"8.5.2.2.1","Unequal-slopes model trt:x p","0.2889","0.28893","3e-05","EXACT","Book reports <.0001 as an upper bound where applicable.","Fitted stats::lm(y ~ trt * x) and extracted car::Anova(type = 'III')."
"Exam8.2",8,"8.5.2.2.1","Equal-slopes model trt F","15.14","15.138328","0.001672","EXACT","Matches the printed equal-slopes ANCOVA fixed-effect test.","Fitted stats::lm(y ~ trt + x) and extracted car::Anova(type = 'III')."
"Exam8.2",8,"8.5.2.2.1","Equal-slopes model trt p","1e-04","8.3e-05","1.7e-05","EXACT","Book reports <.0001 as an upper bound.","Fitted stats::lm(y ~ trt + x) and extracted car::Anova(type = 'III')."
"Exam8.2",8,"8.5.2.2.1","Equal-slopes model x F","81.6","81.59879","0.00121","EXACT","Matches the printed equal-slopes ANCOVA fixed-effect test.","Fitted stats::lm(y ~ trt + x) and extracted car::Anova(type = 'III')."
"Exam8.2",8,"8.5.2.2.1","Equal-slopes model x p","1e-04","0","1e-04","EXACT","Book reports <.0001 as an upper bound.","Fitted stats::lm(y ~ trt + x) and extracted car::Anova(type = 'III')."
"Exam8.2",8,"8.5.2.2.1","Adjusted trt 1 LSMean","47.712","47.71196","4e-05","EXACT","Matches the printed ANCOVA covariate-adjusted LSMean.","Extracted emmeans::emmeans(fit, ~ trt)."
"Exam8.2",8,"8.5.2.2.1","Adjusted trt 1 LSMean SE","1.1746","1.174576","2.4e-05","EXACT","Matches the printed ANCOVA covariate-adjusted LSMean standard error.","Extracted emmeans::emmeans(fit, ~ trt)."
"Exam8.2",8,"8.5.2.2.1","Adjusted trt 2 LSMean","54.5984","54.598418","1.8e-05","EXACT","Matches the printed ANCOVA covariate-adjusted LSMean.","Extracted emmeans::emmeans(fit, ~ trt)."
"Exam8.2",8,"8.5.2.2.1","Adjusted trt 2 LSMean SE","1.1944","1.194427","2.7e-05","EXACT","Matches the printed ANCOVA covariate-adjusted LSMean standard error.","Extracted emmeans::emmeans(fit, ~ trt)."
"Exam8.2",8,"8.5.2.2.1","Adjusted trt 3 LSMean","44.8822","44.882216","1.6e-05","EXACT","Matches the printed ANCOVA covariate-adjusted LSMean.","Extracted emmeans::emmeans(fit, ~ trt)."
"Exam8.2",8,"8.5.2.2.1","Adjusted trt 3 LSMean SE","1.2303","1.230341","4.1e-05","EXACT","Matches the printed ANCOVA covariate-adjusted LSMean standard error.","Extracted emmeans::emmeans(fit, ~ trt)."
"Exam8.2",8,"8.5.2.2.1","Adjusted trt 4 LSMean","53.1131","53.113085","1.5e-05","EXACT","Matches the printed ANCOVA covariate-adjusted LSMean.","Extracted emmeans::emmeans(fit, ~ trt)."
"Exam8.2",8,"8.5.2.2.1","Adjusted trt 4 LSMean SE","1.2639","1.263859","4.1e-05","EXACT","Matches the printed ANCOVA covariate-adjusted LSMean standard error.","Extracted emmeans::emmeans(fit, ~ trt)."
"Exam8.2",8,"8.5.2.2.1","Unadjusted trt F","3.2","3.197229","0.002771","EXACT","Matches the printed model that omits the covariate.","Fitted stats::lm(y ~ trt) and extracted car::Anova(type = 'III')."
"Exam8.2",8,"8.5.2.2.1","Unadjusted trt p","0.0518","0.051827","2.7e-05","EXACT","Matches the printed model that omits the covariate.","Fitted stats::lm(y ~ trt) and extracted car::Anova(type = 'III')."
"Exam8.2",8,"8.5.2.2.1","Unadjusted trt 1 LSMean","45.7127","45.712685","1.5e-05","EXACT","Matches the printed unadjusted treatment mean.","Extracted emmeans::emmeans(fit, ~ trt)."
"Exam8.2",8,"8.5.2.2.1","Unadjusted trt 1 LSMean SE","2.8344","2.834373","2.7e-05","EXACT","Matches the printed unadjusted treatment-mean standard error.","Extracted emmeans::emmeans(fit, ~ trt)."
"Exam8.2",8,"8.5.2.2.1","Unadjusted trt 2 LSMean","57.3974","57.397403","3e-06","EXACT","Matches the printed unadjusted treatment mean.","Extracted emmeans::emmeans(fit, ~ trt)."
"Exam8.2",8,"8.5.2.2.1","Unadjusted trt 2 LSMean SE","2.8344","2.834373","2.7e-05","EXACT","Matches the printed unadjusted treatment-mean standard error.","Extracted emmeans::emmeans(fit, ~ trt)."
"Exam8.2",8,"8.5.2.2.1","Unadjusted trt 3 LSMean","48.7475","48.747481","1.9e-05","EXACT","Matches the printed unadjusted treatment mean.","Extracted emmeans::emmeans(fit, ~ trt)."
"Exam8.2",8,"8.5.2.2.1","Unadjusted trt 3 LSMean SE","2.8344","2.834373","2.7e-05","EXACT","Matches the printed unadjusted treatment-mean standard error.","Extracted emmeans::emmeans(fit, ~ trt)."
"Exam8.2",8,"8.5.2.2.1","Unadjusted trt 4 LSMean","48.4481","48.448109","9e-06","EXACT","Matches the printed unadjusted treatment mean.","Extracted emmeans::emmeans(fit, ~ trt)."
"Exam8.2",8,"8.5.2.2.1","Unadjusted trt 4 LSMean SE","2.8344","2.834373","2.7e-05","EXACT","Matches the printed unadjusted treatment-mean standard error.","Extracted emmeans::emmeans(fit, ~ trt)."
"Exam8.2",8,"8.5.2.2.1","Equal-slopes covariate coefficient","-2.67","-2.6657","0.0043","EXACT","Matches the text-reported covariate regression coefficient after rounding.","Extracted stats::coef from stats::lm(y ~ trt + x)."
"Exam8.3",8,"8.5.2.2.2","Unequal-slopes model trt F","6.62","6.621206","0.001206","EXACT","Matches the printed unequal-slopes ANCOVA type-III table.","Fitted stats::lm(y ~ trt * x) and extracted car::Anova(type = 'III')."
"Exam8.3",8,"8.5.2.2.2","Unequal-slopes model trt p","0.0069","0.006881","1.9e-05","EXACT","Book reports <.0001 as an upper bound where applicable.","Fitted stats::lm(y ~ trt * x) and extracted car::Anova(type = 'III')."
"Exam8.3",8,"8.5.2.2.2","Unequal-slopes model x F","94.9","94.901943","0.001943","EXACT","Matches the printed unequal-slopes ANCOVA type-III table.","Fitted stats::lm(y ~ trt * x) and extracted car::Anova(type = 'III')."
"Exam8.3",8,"8.5.2.2.2","Unequal-slopes model x p","1e-04","0","1e-04","EXACT","Book reports <.0001 as an upper bound where applicable.","Fitted stats::lm(y ~ trt * x) and extracted car::Anova(type = 'III')."
"Exam8.3",8,"8.5.2.2.2","Unequal-slopes model trt:x F","8.4","8.400549","0.000549","EXACT","Matches the printed unequal-slopes ANCOVA type-III table.","Fitted stats::lm(y ~ trt * x) and extracted car::Anova(type = 'III')."
"Exam8.3",8,"8.5.2.2.2","Unequal-slopes model trt:x p","0.0028","0.002809","9e-06","EXACT","Book reports <.0001 as an upper bound where applicable.","Fitted stats::lm(y ~ trt * x) and extracted car::Anova(type = 'III')."
"Exam8.3",8,"8.5.2.2.2","Treatment test at covariate mean F","7.53","7.532","0.002","EXACT","Matches the printed treatment test at Xbar = 9.65.","Extracted emmeans::joint_tests from stats::lm(y ~ trt * x)."
"Exam8.3",8,"8.5.2.2.2","Treatment test at covariate mean p","0.0043","0.004279","2.1e-05","EXACT","Matches the printed treatment test at Xbar = 9.65.","Extracted emmeans::joint_tests from stats::lm(y ~ trt * x)."
"Exam8.3",8,"8.5.2.2.2","trt1 regression coefficient","52.294","52.293956","4.4e-05","EXACT","Matches the printed no-intercept treatment-specific ANCOVA solution.","Fitted stats::lm(y ~ 0 + trt / x)."
"Exam8.3",8,"8.5.2.2.2","trt1 coefficient SE","6.8869","6.886914","1.4e-05","EXACT","Matches the printed no-intercept treatment-specific ANCOVA solution standard error.","Fitted stats::lm(y ~ 0 + trt / x)."
"Exam8.3",8,"8.5.2.2.2","trt2 regression coefficient","74.2824","74.282403","3e-06","EXACT","Matches the printed no-intercept treatment-specific ANCOVA solution.","Fitted stats::lm(y ~ 0 + trt / x)."
"Exam8.3",8,"8.5.2.2.2","trt2 coefficient SE","4.4731","4.473068","3.2e-05","EXACT","Matches the printed no-intercept treatment-specific ANCOVA solution standard error.","Fitted stats::lm(y ~ 0 + trt / x)."
"Exam8.3",8,"8.5.2.2.2","trt3 regression coefficient","78.2623","78.262257","4.3e-05","EXACT","Matches the printed no-intercept treatment-specific ANCOVA solution.","Fitted stats::lm(y ~ 0 + trt / x)."
"Exam8.3",8,"8.5.2.2.2","trt3 coefficient SE","4.8592","4.85915","5e-05","EXACT","Matches the printed no-intercept treatment-specific ANCOVA solution standard error.","Fitted stats::lm(y ~ 0 + trt / x)."
"Exam8.3",8,"8.5.2.2.2","trt4 regression coefficient","56.8222","56.822178","2.2e-05","EXACT","Matches the printed no-intercept treatment-specific ANCOVA solution.","Fitted stats::lm(y ~ 0 + trt / x)."
"Exam8.3",8,"8.5.2.2.2","trt4 coefficient SE","3.7134","3.713377","2.3e-05","EXACT","Matches the printed no-intercept treatment-specific ANCOVA solution standard error.","Fitted stats::lm(y ~ 0 + trt / x)."
"Exam8.3",8,"8.5.2.2.2","trt1:x regression coefficient","-0.6754","-0.675435","3.5e-05","EXACT","Matches the printed no-intercept treatment-specific ANCOVA solution.","Fitted stats::lm(y ~ 0 + trt / x)."
"Exam8.3",8,"8.5.2.2.2","trt1:x coefficient SE","0.8921","0.892075","2.5e-05","EXACT","Matches the printed no-intercept treatment-specific ANCOVA solution standard error.","Fitted stats::lm(y ~ 0 + trt / x)."
"Exam8.3",8,"8.5.2.2.2","trt2:x regression coefficient","-3.7459","-3.745856","4.4e-05","EXACT","Matches the printed no-intercept treatment-specific ANCOVA solution.","Fitted stats::lm(y ~ 0 + trt / x)."
"Exam8.3",8,"8.5.2.2.2","trt2:x coefficient SE","0.5007","0.50073","3e-05","EXACT","Matches the printed no-intercept treatment-specific ANCOVA solution standard error.","Fitted stats::lm(y ~ 0 + trt / x)."
"Exam8.3",8,"8.5.2.2.2","trt3:x regression coefficient","-4.4552","-4.455206","6e-06","EXACT","Matches the printed no-intercept treatment-specific ANCOVA solution.","Fitted stats::lm(y ~ 0 + trt / x)."
"Exam8.3",8,"8.5.2.2.2","trt3:x coefficient SE","0.4278","0.427824","2.4e-05","EXACT","Matches the printed no-intercept treatment-specific ANCOVA solution standard error.","Fitted stats::lm(y ~ 0 + trt / x)."
"Exam8.3",8,"8.5.2.2.2","trt4:x regression coefficient","-2.3346","-2.334571","2.9e-05","EXACT","Matches the printed no-intercept treatment-specific ANCOVA solution.","Fitted stats::lm(y ~ 0 + trt / x)."
"Exam8.3",8,"8.5.2.2.2","trt4:x coefficient SE","0.308","0.307955","4.5e-05","EXACT","Matches the printed no-intercept treatment-specific ANCOVA solution standard error.","Fitted stats::lm(y ~ 0 + trt / x)."
"Exam8.3",8,"8.5.2.2.2","trt 1 at x=7 LSMean","47.5659","47.56591","1e-05","EXACT","Matches the printed treatment mean at the specified covariate value.","Extracted emmeans::emmeans(fit, ~ trt | x, at = list(x = c(7, 12)))."
"Exam8.3",8,"8.5.2.2.2","trt 1 at x=7 LSMean SE","1.3232","1.323162","3.8e-05","EXACT","Matches the printed treatment-mean standard error at the specified covariate value.","Extracted emmeans::emmeans(fit, ~ trt | x, at = list(x = c(7, 12)))."
"Exam8.3",8,"8.5.2.2.2","trt 2 at x=7 LSMean","48.0614","48.061411","1.1e-05","EXACT","Matches the printed treatment mean at the specified covariate value.","Extracted emmeans::emmeans(fit, ~ trt | x, at = list(x = c(7, 12)))."
"Exam8.3",8,"8.5.2.2.2","trt 2 at x=7 LSMean SE","1.4513","1.451255","4.5e-05","EXACT","Matches the printed treatment-mean standard error at the specified covariate value.","Extracted emmeans::emmeans(fit, ~ trt | x, at = list(x = c(7, 12)))."
"Exam8.3",8,"8.5.2.2.2","trt 3 at x=7 LSMean","47.0758","47.075813","1.3e-05","EXACT","Matches the printed treatment mean at the specified covariate value.","Extracted emmeans::emmeans(fit, ~ trt | x, at = list(x = c(7, 12)))."
"Exam8.3",8,"8.5.2.2.2","trt 3 at x=7 LSMean SE","2.0959","2.095903","3e-06","EXACT","Matches the printed treatment-mean standard error at the specified covariate value.","Extracted emmeans::emmeans(fit, ~ trt | x, at = list(x = c(7, 12)))."
"Exam8.3",8,"8.5.2.2.2","trt 4 at x=7 LSMean","40.4802","40.480179","2.1e-05","EXACT","Matches the printed treatment mean at the specified covariate value.","Extracted emmeans::emmeans(fit, ~ trt | x, at = list(x = c(7, 12)))."
"Exam8.3",8,"8.5.2.2.2","trt 4 at x=7 LSMean SE","1.8167","1.816672","2.8e-05","EXACT","Matches the printed treatment-mean standard error at the specified covariate value.","Extracted emmeans::emmeans(fit, ~ trt | x, at = list(x = c(7, 12)))."
"Exam8.3",8,"8.5.2.2.2","trt 1 at x=12 LSMean","44.1887","44.188735","3.5e-05","EXACT","Matches the printed treatment mean at the specified covariate value.","Extracted emmeans::emmeans(fit, ~ trt | x, at = list(x = c(7, 12)))."
"Exam8.3",8,"8.5.2.2.2","trt 1 at x=12 LSMean SE","4.1074","4.107423","2.3e-05","EXACT","Matches the printed treatment-mean standard error at the specified covariate value.","Extracted emmeans::emmeans(fit, ~ trt | x, at = list(x = c(7, 12)))."
"Exam8.3",8,"8.5.2.2.2","trt 2 at x=12 LSMean","29.3321","29.332131","3.1e-05","EXACT","Matches the printed treatment mean at the specified covariate value.","Extracted emmeans::emmeans(fit, ~ trt | x, at = list(x = c(7, 12)))."
"Exam8.3",8,"8.5.2.2.2","trt 2 at x=12 LSMean SE","2.0887","2.088712","1.2e-05","EXACT","Matches the printed treatment-mean standard error at the specified covariate value.","Extracted emmeans::emmeans(fit, ~ trt | x, at = list(x = c(7, 12)))."
"Exam8.3",8,"8.5.2.2.2","trt 3 at x=12 LSMean","24.7998","24.799781","1.9e-05","EXACT","Matches the printed treatment mean at the specified covariate value.","Extracted emmeans::emmeans(fit, ~ trt | x, at = list(x = c(7, 12)))."
"Exam8.3",8,"8.5.2.2.2","trt 3 at x=12 LSMean SE","1.2835","1.283473","2.7e-05","EXACT","Matches the printed treatment-mean standard error at the specified covariate value.","Extracted emmeans::emmeans(fit, ~ trt | x, at = list(x = c(7, 12)))."
"Exam8.3",8,"8.5.2.2.2","trt 4 at x=12 LSMean","28.8073","28.807322","2.2e-05","EXACT","Matches the printed treatment mean at the specified covariate value.","Extracted emmeans::emmeans(fit, ~ trt | x, at = list(x = c(7, 12)))."
"Exam8.3",8,"8.5.2.2.2","trt 4 at x=12 LSMean SE","1.2241","1.224096","4e-06","EXACT","Matches the printed treatment-mean standard error at the specified covariate value.","Extracted emmeans::emmeans(fit, ~ trt | x, at = list(x = c(7, 12)))."
"Exam8.6",8,"8.6.2.1","Hoerl response-surface figure-derived numeric values","figure only","not available","","UNVERIF","The 2024 2nd edition presents the Hoerl and Gompertz fits graphically without a printed coefficient or fit-statistic table.","Verified that the package fits the linearized Hoerl structure response ~ x1 * x2 + logx1 * logx2; no numerical comparison is claimed."
"Exam8.7",8,"8.6.2.2","a F","15.16","0.404143","14.755857","MISMATCH","Software limitation: the package currently uses an ordinary lm B-spline basis, whereas the book reports a GLIMMIX smoothing-spline EFFECT fit.","Re-fit current package spline implementation and retained the numerical mismatch explicitly."
"Exam8.7",8,"8.6.2.2","a p","1e-04","0.525543","0.525443","MISMATCH","Software limitation: the package currently uses an ordinary lm B-spline basis, whereas the book reports a GLIMMIX smoothing-spline EFFECT fit.","Re-fit current package spline implementation and retained the numerical mismatch explicitly."
"Exam8.7",8,"8.6.2.2","spline_x F","430.68","405.726845","24.953155","MISMATCH","Software limitation: the package currently uses an ordinary lm B-spline basis, whereas the book reports a GLIMMIX smoothing-spline EFFECT fit.","Re-fit current package spline implementation and retained the numerical mismatch explicitly."
"Exam8.7",8,"8.6.2.2","spline_x p","1e-04","0","1e-04","EXACT","Software limitation: the package currently uses an ordinary lm B-spline basis, whereas the book reports a GLIMMIX smoothing-spline EFFECT fit.","Re-fit current package spline implementation and retained the numerical mismatch explicitly."
"Exam8.7",8,"8.6.2.2","spline_x*a F","31.18","26.445477","4.734523","MISMATCH","Software limitation: the package currently uses an ordinary lm B-spline basis, whereas the book reports a GLIMMIX smoothing-spline EFFECT fit.","Re-fit current package spline implementation and retained the numerical mismatch explicitly."
"Exam8.7",8,"8.6.2.2","spline_x*a p","1e-04","0","1e-04","EXACT","Software limitation: the package currently uses an ordinary lm B-spline basis, whereas the book reports a GLIMMIX smoothing-spline EFFECT fit.","Re-fit current package spline implementation and retained the numerical mismatch explicitly."
"Exam9.1",9,"9.4.1","Block(set) VC","60.5495","60.549501","1e-06","EXACT","Matches printed GLIMMIX covariance parameter estimate.","Fitted lmerTest::lmer(y ~ set + set:trt + (1 | set:block))."
"Exam9.1",9,"9.4.1","Residual variance","22.7507","22.750666","3.4e-05","EXACT","Matches printed GLIMMIX covariance parameter estimate.","Fitted lmerTest::lmer(y ~ set + set:trt + (1 | set:block))."
"Exam9.1",9,"9.4.1","Set F","0.04","2.409407","2.369407","MISMATCH","MISMATCH: lmerTest reports a non-estimability-sensitive type-III test for the rank-deficient nested treatment parameterization; the book also calls this an uninteresting hypothesis.","Retained mismatch; treatment nested means, variance components, and pairwise comparisons reproduce exactly."
"Exam9.1",9,"9.4.1","Set p","0.8509","0.147295","0.703605","MISMATCH","MISMATCH: lmerTest reports a non-estimability-sensitive type-III test for the rank-deficient nested treatment parameterization; the book also calls this an uninteresting hypothesis.","Retained mismatch; treatment nested means, variance components, and pairwise comparisons reproduce exactly."
"Exam9.1",9,"9.4.1","trt(set) F","4.91","4.913512","0.003512","EXACT","Matches printed nested-treatment fixed-effect test.","Extracted Kenward-Roger ANOVA from lmerTest."
